CodMunicipio;Municipi;Casos PCR+;Incidència acumulada PCR+;Casos PCR+ 14 dies;Incidència acumulada PCR+14;Defuncions;Taxa de defunció
46001;Ademuz; 454; 43780,14; 22; 2121,5; 2; 192,86
46002;Ador; 749; 43294,8; 47; 2716,76; 5; 289,02
3001;Adsubia; 36; 5891,98; 2; 327,33; 1; 163,67
3002;Agost; 1054; 21985,82; 91; 1898,21; 11; 229,45
3003;Agres; 73; 12943,26; 4; 709,22; 1; 177,3
46004;Agullent; 335; 14028,48; 22; 921,27; 3; 125,63
46042;Aielo de Malferit; 936; 20237,84; 88; 1902,7; 6; 129,73
46043;Aielo de Rugat; 11; 6875,0; 0; 0,0; 0; 0,0
3004;Aigües; 113; 11460,45; 10; 1014,2; 0; 0,0
46005;Alaquàs; 7417; 24963,82; 729; 2453,64; 64; 215,41
46006;Albaida; 1849; 31264,8; 139; 2350,36; 16; 270,54
46007;Albal; 3705; 22350,24; 325; 1960,55; 12; 72,39
46008;Albalat de la Ribera; 678; 20384,85; 81; 2435,36; 3; 90,2
46009;Albalat dels Sorells; 838; 20763,13; 105; 2601,59; 2; 49,55
46010;Albalat dels Tarongers; 180; 14900,66; 22; 1821,19; 2; 165,56
3005;Albatera; 2983; 23913,74; 220; 1763,67; 14; 112,23
46011;Alberic; 3272; 31105,62; 384; 3650,54; 12; 114,08
12003;Albocàsser; 545; 44417,28; 48; 3911,98; 3; 244,5
46012;Alborache; 186; 15134,26; 22; 1790,07; 10; 813,67
46013;Alboraya; 6131; 24780,73; 564; 2279,62; 46; 185,93
46014;Albuixech; 874; 21055,17; 108; 2601,78; 10; 240,91
3006;Alcalalí; 67; 5145,93; 1; 76,8; 0; 0,0
12004;Alcalà de Xivert; 1747; 26318,17; 142; 2139,2; 2; 30,13
3007;Alcocer de Planes; 21; 9292,04; 0; 0,0; 1; 442,48
3008;Alcoleja; 40; 22598,87; 1; 564,97; 0; 0,0
12005;Alcora (l'); 3020; 28991,07; 333; 3196,7; 16; 153,6
3009;Alcoy/Alcoi; 17253; 29067,97; 1661; 2798,46; 242; 407,72
46018;Alcublas; 78; 12765,96; 10; 1636,66; 0; 0,0
12006;Alcudia de Veo; 24; 12765,96; 6; 3191,49; 1; 531,91
46016;Alcàntera de Xúquer; 177; 13199,11; 4; 298,28; 3; 223,71
46015;Alcàsser; 2602; 25519,81; 293; 2873,68; 20; 196,16
46019;Alcúdia (l'); 3244; 26794,42; 309; 2552,24; 18; 148,67
46020;Alcúdia de Crespins (l'); 1395; 27283,4; 95; 1858,01; 4; 78,23
46021;Aldaia; 8056; 25015,53; 683; 2120,85; 46; 142,84
46022;Alfafar; 5130; 23977,56; 435; 2033,19; 38; 177,61
3010;Alfafara; 71; 17487,68; 4; 985,22; 0; 0,0
46024;Alfara de la Baronía; 96; 16871,7; 3; 527,24; 3; 527,24
46025;Alfara del Patriarca; 398; 12126,75; 37; 1127,36; 2; 60,94
46026;Alfarp; 246; 15658,82; 39; 2482,5; 3; 190,96
46027;Alfarrasí; 273; 22395,41; 23; 1886,79; 1; 82,03
46023;Alfauir; 55; 12249,44; 6; 1336,3; 0; 0,0
12007;Alfondeguilla; 115; 13341,07; 11; 1276,1; 0; 0,0
3011;Alfàs del Pi (l'); 3844; 19179,72; 211; 1052,79; 29; 144,7
46028;Algar de Palancia; 57; 11608,96; 8; 1629,33; 0; 0,0
46029;Algemesí; 6738; 24564,35; 565; 2059,79; 56; 204,16
46030;Algimia de Alfara; 160; 15194,68; 17; 1614,43; 8; 759,73
12008;Algimia de Almonacid; 30; 11450,38; 1; 381,68; 0; 0,0
46031;Alginet; 3439; 24871,63; 400; 2892,89; 11; 79,55
3012;Algorfa; 413; 13216,0; 34; 1088,0; 2; 64,0
3013;Algueña; 210; 15837,1; 33; 2488,69; 0; 0,0
3014;Alicante/Alacant; 75687; 22426,97; 6278; 1860,25; 563; 166,82
12009;Almazora/Almassora; 6661; 24908,38; 581; 2172,61; 26; 97,23
12010;Almedíjar; 15; 6147,54; 1; 409,84; 0; 0,0
12011;Almenara; 1404; 23054,19; 124; 2036,12; 15; 246,31
46033;Almiserà; 10; 3773,58; 2; 754,72; 0; 0,0
46034;Almoines; 507; 20468,31; 77; 3108,6; 1; 40,37
3015;Almoradí; 5294; 24962,28; 375; 1768,2; 32; 150,89
3016;Almudaina; 3; 2752,29; 1; 917,43; 0; 0,0
46035;Almussafes; 1903; 21193,9; 227; 2528,12; 6; 66,82
46032;Almàssera; 2092; 28125,84; 162; 2178,0; 9; 121,0
46036;Alpuente; 51; 8031,5; 5; 787,4; 0; 0,0
3017;Alqueria d'Asnar (l'); 91; 18458,42; 9; 1825,56; 1; 202,84
46037;Alqueria de la Comtessa (l'); 346; 23128,34; 54; 3609,63; 2; 133,69
12901;Alquerías del Niño Perdido; 1085; 24305,56; 98; 2195,34; 10; 224,01
3018;Altea; 4812; 21331,68; 332; 1471,76; 39; 172,89
12012;Altura; 684; 18994,72; 73; 2027,21; 2; 55,54
46017;Alzira; 9871; 21965,82; 1130; 2514,58; 67; 149,09
46038;Andilla; 6; 1948,05; 0; 0,0; 0; 0,0
46039;Anna; 718; 27456,98; 42; 1606,12; 22; 841,3
46040;Antella; 150; 12964,56; 19; 1642,18; 5; 432,15
46041;Aras de los Olmos; 40; 11142,06; 13; 3621,17; 0; 0,0
12013;Arañuel; 1; 662,25; 0; 0,0; 0; 0,0
12014;Ares del Maestrat; 5; 2717,39; 0; 0,0; 0; 0,0
12015;Argelita; 3; 2380,95; 0; 0,0; 0; 0,0
12016;Artana; 769; 39335,04; 52; 2659,85; 1; 51,15
3019;Aspe; 4878; 23447,41; 497; 2388,96; 21; 100,94
46003;Atzeneta d'Albaida; 235; 20223,75; 19; 1635,11; 1; 86,06
12001;Atzeneta del Maestrat; 364; 27914,11; 35; 2684,05; 3; 230,06
46044;Ayora; 1740; 32935,83; 129; 2441,79; 12; 227,14
12017;Ayódar; 35; 22875,82; 5; 3267,97; 0; 0,0
12018;Azuébar; 51; 16451,61; 6; 1935,48; 1; 322,58
12002;Aín; 6; 4878,05; 1; 813,01; 0; 0,0
3020;Balones; 23; 17968,75; 3; 2343,75; 0; 0,0
3021;Banyeres de Mariola; 2433; 34315,94; 165; 2327,22; 21; 296,19
12020;Barracas; 35; 20833,33; 0; 0,0; 1; 595,24
46046;Barx; 269; 20644,67; 16; 1227,94; 14; 1074,44
46045;Barxeta; 389; 24527,11; 26; 1639,34; 3; 189,16
12022;Bejís; 30; 8086,25; 4; 1078,17; 0; 0,0
46048;Bellreguard; 2101; 45495,89; 172; 3724,56; 17; 368,12
46049;Bellús; 23; 7692,31; 2; 668,9; 0; 0,0
12024;Benafer; 5; 3048,78; 0; 0,0; 0; 0,0
12025;Benafigos; 2; 1449,28; 0; 0,0; 0; 0,0
46051;Benaguasil; 2844; 25266,52; 327; 2905,12; 13; 115,49
46050;Benagéber; 29; 16111,11; 2; 1111,11; 0; 0,0
12026;Benasal; 156; 14675,45; 8; 752,59; 3; 282,22
3022;Benasau; 12; 7692,31; 2; 1282,05; 0; 0,0
46052;Benavites; 110; 17241,38; 6; 940,44; 2; 313,48
3023;Beneixama; 375; 22189,35; 32; 1893,49; 2; 118,34
46053;Beneixida; 59; 9409,89; 5; 797,45; 0; 0,0
3024;Benejúzar; 1218; 22410,3; 77; 1416,74; 12; 220,79
46054;Benetússer; 4130; 27533,33; 401; 2673,33; 29; 193,33
3025;Benferri; 290; 14758,27; 20; 1017,81; 3; 152,67
3026;Beniarbeig; 179; 8290,88; 9; 416,86; 0; 0,0
3027;Beniardá; 4; 2000,0; 0; 0,0; 0; 0,0
46055;Beniarjó; 490; 27730,62; 57; 3225,81; 2; 113,19
3028;Beniarrés; 249; 22656,96; 18; 1637,85; 2; 181,98
46056;Beniatjar; 45; 20547,95; 4; 1826,48; 1; 456,62
12027;Benicarló; 7102; 25954,76; 645; 2357,2; 46; 168,11
12028;Benicasim/Benicàssim; 5155; 28071,23; 413; 2248,97; 21; 114,35
46057;Benicolet; 123; 21428,57; 9; 1567,94; 2; 348,43
46904;Benicull de Xúquer; 131; 12500,0; 21; 2003,82; 0; 0,0
3030;Benidoleig; 69; 6400,74; 4; 371,06; 0; 0,0
3031;Benidorm; 16382; 23253,37; 832; 1180,98; 199; 282,47
46059;Benifairó de la Valldigna; 280; 17971,76; 34; 2182,28; 0; 0,0
46058;Benifairó de les Valls; 404; 18255,76; 61; 2756,44; 2; 90,38
46060;Benifaió; 3284; 27391,78; 309; 2577,36; 26; 216,87
3032;Benifallim; 10; 9615,38; 0; 0,0; 0; 0,0
3033;Benifato; 9; 6617,65; 0; 0,0; 0; 0,0
46061;Beniflá; 6; 1304,35; 2; 434,78; 0; 0,0
3029;Benigembla; 42; 9480,81; 1; 225,73; 0; 0,0
46062;Benigánim; 2196; 37999,65; 85; 1470,84; 15; 259,56
3034;Benijófar; 517; 15699,97; 15; 455,51; 4; 121,47
3035;Benilloba; 224; 30853,99; 17; 2341,6; 1; 137,74
3036;Benillup; 10; 10000,0; 2; 2000,0; 0; 0,0
3037;Benimantell; 145; 29175,05; 12; 2414,49; 3; 603,62
3038;Benimarfull; 35; 8838,38; 3; 757,58; 0; 0,0
3039;Benimassot; 7; 6796,12; 0; 0,0; 0; 0,0
3040;Benimeli; 45; 10489,51; 11; 2564,1; 0; 0,0
46063;Benimodo; 239; 10519,37; 26; 1144,37; 2; 88,03
46064;Benimuslem; 65; 9745,13; 17; 2548,73; 0; 0,0
46065;Beniparrell; 433; 21488,83; 45; 2233,25; 2; 99,26
46066;Benirredrà; 606; 38971,06; 58; 3729,9; 18; 1157,56
46067;Benisanó; 461; 20122,22; 60; 2618,94; 1; 43,65
3041;Benissa; 3050; 27019,84; 290; 2569,1; 30; 265,77
46068;Benissoda; 56; 12962,96; 1; 231,48; 0; 0,0
46069;Benisuera; 23; 12432,43; 0; 0,0; 0; 0,0
3042;Benitachell/Poble Nou de Benitatxell (el); 308; 6918,24; 11; 247,08; 4; 89,85
12029;Benlloch; 212; 20229,01; 23; 2194,66; 2; 190,84
12021;Betxí; 1579; 28106,09; 157; 2794,59; 2; 35,6
3043;Biar; 1176; 32175,1; 60; 1641,59; 7; 191,52
46071;Bicorp; 102; 19281,66; 15; 2835,54; 0; 0,0
3044;Bigastro; 1671; 24185,84; 177; 2561,88; 12; 173,69
46072;Bocairent; 908; 21921,78; 104; 2510,86; 7; 169,0
46073;Bolbaite; 312; 23564,95; 13; 981,87; 5; 377,64
3045;Bolulla; 21; 5035,97; 0; 0,0; 0; 0,0
46074;Bonrepòs i Mirambell; 902; 24130,55; 118; 3156,77; 4; 107,01
12032;Borriana/Burriana; 9093; 25941,46; 927; 2644,64; 65; 185,44
12031;Borriol; 1456; 26977,95; 153; 2834,91; 7; 129,7
46075;Bufali; 8; 5128,21; 1; 641,03; 0; 0,0
46076;Bugarra; 120; 16238,16; 10; 1353,18; 0; 0,0
46078;Burjassot; 9866; 25538,41; 897; 2321,91; 52; 134,6
3046;Busot; 302; 9821,14; 26; 845,53; 1; 32,52
46077;Buñol; 2838; 29879,97; 260; 2737,42; 18; 189,51
46047;Bèlgida; 92; 13549,34; 12; 1767,3; 3; 441,83
46070;Bétera; 6903; 28056,41; 659; 2678,43; 46; 186,96
12033;Cabanes; 444; 14909,34; 62; 2081,93; 21; 705,17
46079;Calles; 43; 12112,68; 9; 2535,21; 1; 281,69
3048;Callosa d'En Sarrià; 1932; 25684,66; 131; 1741,56; 19; 252,59
3049;Callosa de Segura; 4969; 25978,98; 504; 2635,02; 26; 135,93
3047;Calp; 4755; 20384,98; 344; 1474,75; 45; 192,92
3050;Campello (el); 6394; 22101,62; 612; 2115,45; 87; 300,73
3051;Campo de Mirra/Camp de Mirra (el); 2; 479,62; 0; 0,0; 0; 0,0
46080;Camporrobles; 239; 19949,92; 6; 500,83; 0; 0,0
46081;Canals; 3671; 27160,4; 272; 2012,43; 16; 118,38
46082;Canet d'En Berenguer; 1046; 15461,94; 112; 1655,58; 24; 354,77
12036;Canet lo Roig; 99; 14644,97; 8; 1183,43; 0; 0,0
46083;Carcaixent; 4990; 24417,69; 599; 2931,1; 39; 190,84
46085;Carlet; 4195; 26651,84; 420; 2668,36; 26; 165,18
46086;Carrícola; 11; 11111,11; 0; 0,0; 0; 0,0
46087;Casas Altas; 11; 8396,95; 0; 0,0; 1; 763,36
46088;Casas Bajas; 20; 12269,94; 1; 613,5; 0; 0,0
46089;Casinos; 357; 12841,73; 58; 2086,33; 3; 107,91
3053;Castalla; 2637; 25207,92; 262; 2504,54; 26; 248,54
12037;Castell de Cabres; 0; 0,0; 0; 0,0; 0; 0,0
3054;Castell de Castells; 43; 9839,82; 4; 915,33; 1; 228,83
3075;Castell de Guadalest (el); 0; 0,0; 0; 0,0; 0; 0,0
12038;Castellfort; 5; 2793,3; 1; 558,66; 1; 558,66
12039;Castellnovo; 109; 11873,64; 15; 1633,99; 1; 108,93
46091;Castellonet de la Conquesta; 8; 5673,76; 0; 0,0; 1; 709,22
46257;Castelló; 2137; 30294,87; 202; 2863,62; 8; 113,41
46090;Castelló de Rugat; 812; 35335,07; 48; 2088,77; 0; 0,0
12040;Castellón de la Plana/Castelló de la Plana; 43858; 25167,56; 4863; 2790,59; 286; 164,12
46092;Castielfabib; 18; 5844,16; 1; 324,68; 0; 0,0
12041;Castillo de Villamalefa; 23; 22772,28; 6; 5940,59; 0; 0,0
46093;Catadau; 606; 21611,98; 66; 2353,78; 5; 178,32
46094;Catarroja; 7040; 24608,5; 800; 2796,42; 40; 139,82
3055;Catral; 1253; 14081,82; 77; 865,36; 9; 101,15
12042;Catí; 93; 13025,21; 14; 1960,78; 2; 280,11
46095;Caudete de las Fuentes; 192; 27004,22; 12; 1687,76; 3; 421,94
12043;Caudiel; 59; 8952,96; 4; 606,98; 4; 606,98
3052;Cañada; 292; 24172,19; 27; 2235,1; 2; 165,56
46096;Cerdà; 13; 3927,49; 0; 0,0; 0; 0,0
12044;Cervera del Maestre; 66; 11849,19; 10; 1795,33; 0; 0,0
46107;Chella; 766; 30987,06; 24; 970,87; 6; 242,72
46106;Chelva; 566; 36969,3; 86; 5617,24; 2; 130,63
46108;Chera; 99; 21108,74; 4; 852,88; 0; 0,0
12052;Chert/Xert; 91; 13226,74; 10; 1453,49; 2; 290,7
46109;Cheste; 2460; 28162,56; 202; 2312,54; 21; 240,41
12053;Chilches/Xilxes; 436; 16064,85; 60; 2210,76; 1; 36,85
46111;Chiva; 3290; 21344,23; 255; 1654,34; 28; 181,65
12055;Chodos/Xodos; 1; 943,4; 0; 0,0; 0; 0,0
46112;Chulilla; 98; 14803,63; 18; 2719,03; 1; 151,06
12056;Chóvar; 36; 12500,0; 4; 1388,89; 0; 0,0
12045;Cinctorres; 118; 29500,0; 7; 1750,0; 2; 500,0
12046;Cirat; 18; 8737,86; 0; 0,0; 0; 0,0
3056;Cocentaina; 2693; 23376,74; 351; 3046,88; 36; 312,5
46097;Cofrentes; 257; 22885,13; 18; 1602,85; 3; 267,14
3057;Confrides; 0; 0,0; 0; 0,0; 0; 0,0
46098;Corbera; 482; 15608,81; 48; 1554,4; 5; 161,92
12048;Cortes de Arenoso; 22; 7333,33; 5; 1666,67; 0; 0,0
46099;Cortes de Pallás; 113; 14656,29; 7; 907,91; 1; 129,7
12049;Costur; 36; 6949,81; 4; 772,2; 1; 193,05
46100;Cotes; 51; 15315,32; 1; 300,3; 0; 0,0
12050;Coves de Vinromà (les); 364; 20155,04; 44; 2436,32; 1; 55,37
3058;Cox; 1226; 16598,97; 82; 1110,21; 14; 189,55
3059;Crevillent; 5706; 19318,8; 548; 1855,36; 39; 132,04
12051;Culla; 37; 7692,31; 6; 1247,4; 0; 0,0
46105;Cullera; 4729; 20998,18; 469; 2082,5; 39; 173,17
12034;Càlig; 285; 14533,4; 50; 2549,72; 1; 50,99
46084;Càrcer; 850; 46524,36; 54; 2955,67; 7; 383,14
46113;Daimús; 880; 27534,42; 86; 2690,86; 31; 969,96
3061;Daya Nueva; 359; 20715,52; 11; 634,74; 5; 288,52
3062;Daya Vieja; 51; 6976,74; 2; 273,6; 1; 136,8
3064;Dolores; 2580; 34258,4; 197; 2615,85; 15; 199,18
46114;Domeño; 81; 12035,66; 18; 2674,59; 1; 148,59
46115;Dos Aguas; 62; 18960,24; 4; 1223,24; 1; 305,81
3063;Dénia; 9853; 23006,51; 780; 1821,28; 46; 107,41
3065;Elche/Elx; 62024; 26419,61; 5297; 2256,3; 323; 137,58
3066;Elda; 14697; 27828,38; 1098; 2079,03; 129; 244,26
46116;Eliana (l'); 5923; 32256,83; 604; 3289,4; 40; 217,84
46117;Emperador; 77; 11191,86; 8; 1162,79; 0; 0,0
46118;Enguera; 1155; 24178,35; 61; 1276,95; 5; 104,67
12057;Eslida; 90; 12413,79; 11; 1517,24; 0; 0,0
12058;Espadilla; 8; 11594,2; 0; 0,0; 0; 0,0
46120;Estivella; 684; 47467,04; 94; 6523,25; 6; 416,38
46121;Estubeny; 8; 6400,0; 0; 0,0; 0; 0,0
3067;Facheca; 8; 7476,64; 2; 1869,16; 0; 0,0
3068;Famorca; 2; 4444,44; 0; 0,0; 0; 0,0
12059;Fanzara; 35; 12820,51; 4; 1465,2; 0; 0,0
46122;Faura; 1015; 28567,41; 133; 3743,32; 3; 84,44
46123;Favara; 470; 18769,97; 32; 1277,96; 6; 239,62
12060;Figueroles; 49; 9369,02; 11; 2103,25; 0; 0,0
3069;Finestrat; 1019; 14346,05; 103; 1450,09; 5; 70,39
46126;Foios; 2224; 29844,34; 219; 2938,81; 7; 93,93
3077;Fondó de les Neus (el)/Hondón de las Nieves; 265; 10168,84; 51; 1957,02; 1; 38,37
46127;Font d'En Carròs (la); 799; 21148,76; 114; 3017,47; 4; 105,88
46128;Font de la Figuera (la); 574; 28317,71; 41; 2022,69; 1; 49,33
46124;Fontanars dels Alforins; 251; 26173,1; 25; 2606,88; 2; 208,55
12061;Forcall; 235; 51535,09; 18; 3947,37; 3; 657,89
3070;Formentera del Segura; 665; 15581,07; 44; 1030,93; 10; 234,3
46125;Fortaleny; 155; 15196,08; 20; 1960,78; 3; 294,12
12063;Fuente la Reina; 3; 5882,35; 0; 0,0; 0; 0,0
46129;Fuenterrobles; 168; 24207,49; 7; 1008,65; 1; 144,09
12064;Fuentes de Ayódar; 1; 1123,6; 0; 0,0; 0; 0,0
3072;Gaianes; 64; 13361,17; 14; 2922,76; 0; 0,0
12065;Gaibiel; 30; 16574,59; 3; 1657,46; 0; 0,0
46131;Gandia; 18375; 24242,06; 1431; 1887,91; 79; 104,22
3071;Gata de Gorgos; 1339; 21448,02; 117; 1874,1; 3; 48,05
46130;Gavarda; 138; 13243,76; 6; 575,82; 1; 95,97
12067;Geldo; 88; 13902,05; 19; 3001,58; 1; 157,98
46132;Genovés; 749; 26961,84; 55; 1979,84; 1; 36,0
46133;Gestalgar; 87; 15875,91; 6; 1094,89; 0; 0,0
46134;Gilet; 437; 12837,84; 45; 1321,97; 2; 58,75
46135;Godella; 4295; 32708,86; 445; 3388,93; 17; 129,46
46136;Godelleta; 323; 9012,28; 22; 613,84; 2; 55,8
3073;Gorga; 40; 16597,51; 2; 829,88; 0; 0,0
46137;Granja de la Costera (la); 28; 9491,53; 0; 0,0; 0; 0,0
3074;Granja de Rocamora; 461; 17792,36; 20; 771,9; 3; 115,79
46138;Guadasequies; 67; 14692,98; 4; 877,19; 0; 0,0
46139;Guadassuar; 1436; 24330,74; 196; 3320,91; 15; 254,15
46140;Guardamar de la Safor; 21; 3954,8; 3; 564,97; 2; 376,65
